id,name,category,description
60,Wireless Video Game Controller,Toys & Games,"Ergonomic wireless controller with responsive buttons and long battery life, compatible with popular gaming consoles."
61,Organic Green Tea Bags,Grocery,"Antioxidant-rich green tea sourced from organic farms, offering a smooth, refreshing taste without bitterness."
62,Mixed Nuts Healthy Snack Pack,Grocery,"Roasted almonds, cashews, and walnuts in convenient snack packs, a protein-rich choice for a quick energy boost."
63,Extra Virgin Olive Oil 1L,Grocery,"Cold-pressed olive oil with a rich, fruity flavor, ideal for salad dressings, sautéing, and everyday cooking."
64,Whole Wheat Pasta Pack,Grocery,"Fiber-rich pasta made from whole wheat, cooking up firm and satisfying for a healthier take on classic Italian dishes."
65,Dark Chocolate Bar 70% Cacao,Grocery,"Rich, intensely flavored dark chocolate with less sugar, a satisfying treat for chocolate lovers watching their diet."
66,Instant Oatmeal Variety Pack,Grocery,"Quick-cooking oatmeal in assorted flavors, a warm, fiber-packed breakfast ready in under two minutes."
67,Cold Brew Coffee Concentrate,Grocery,"Smooth, low-acid coffee concentrate brewed slowly for 20 hours, ready to dilute with water or milk over ice."
68,Protein Powder Chocolate Flavor,Grocery,"Whey protein powder that supports muscle recovery after workouts, mixing smoothly into shakes with a rich chocolate taste."
69,Car Phone Mount Dashboard,Automotive,Sturdy dashboard mount that holds smartphones securely for hands-free navigation and calls while driving.
70,Microfiber Car Wash Towels,Automotive,"Ultra-absorbent, scratch-free towels for drying and detailing cars without leaving streaks or swirl marks."
71,Portable Tire Inflator,Automotive,"Compact air compressor that plugs into a car's power outlet, quickly inflating tires during roadside emergencies."
72,Dash Cam Full HD,Automotive,"Front-facing dash camera that records sharp footage of the road, providing evidence in case of accidents or disputes."
73,Car Seat Cushion Memory Foam,Automotive,"Ergonomic seat cushion that relieves lower back pain during long drives, fitting most car and office chairs."
74,Laptop Backpack Anti-Theft,Bags & Travel,"Water-resistant backpack with a hidden zipper compartment and USB charging port, built for commuting professionals."
75,Hardside Suitcase 24-inch,Bags & Travel,"Lightweight, durable suitcase with spinner wheels and a TSA-approved lock, ideal for week-long trips."
76,Travel Neck Pillow Memory Foam,Bags & Travel,"Contoured neck pillow that supports the head during long flights and road trips, compressible for easy packing."
77,Passport Holder Travel Wallet,Bags & Travel,"Slim RFID-blocking wallet that organizes passports, cards, and boarding passes in one secure, easy-to-carry case."
78,Duffel Bag for Gym,Bags & Travel,"Spacious gym duffel with a separate shoe compartment, keeping sweaty clothes and sneakers away from clean items."
79,Baby Stroller Lightweight,Baby Products,"Compact, one-hand-fold stroller with a smooth ride and reclining seat, easy to maneuver through crowded spaces."
80,Baby Monitor with Camera,Baby Products,"Video baby monitor with night vision and two-way audio, letting parents check on their baby from another room."
81,Baby Diaper Bag Backpack,Baby Products,"Multi-pocket backpack with an insulated bottle holder and changing pad, keeping baby essentials organized on the go."
82,Infant Car Seat Rear-Facing,Baby Products,"Crash-tested rear-facing car seat with padded cushioning, keeping infants safe and comfortable on every car ride."
83,Wooden Baby High Chair,Baby Products,"Adjustable wooden high chair that grows with your child, from first feedings through toddler mealtimes."
84,Pet Dog Bed Orthopedic,Pet Supplies,"Supportive memory foam dog bed that eases joint pain in older dogs, with a removable, washable cover."
85,Automatic Cat Feeder,Pet Supplies,"Programmable feeder that dispenses measured portions on schedule, keeping cats fed even when owners are away."
86,Dog Leash Retractable,Pet Supplies,"Retractable leash with a comfortable grip and one-button brake, giving dogs freedom to roam while on walks."
87,Cat Scratching Post Tower,Pet Supplies,"Multi-level scratching post with sisal rope and perches, satisfying a cat's urge to scratch and climb."
88,Aquarium Fish Tank Starter Kit,Pet Supplies,"Complete starter kit with tank, filter, and LED lighting, everything needed to set up a small home aquarium."
89,Wireless Doorbell Camera,Smart Home,"Video doorbell that sends motion alerts to your phone, letting you see and speak with visitors from anywhere."
90,Smart LED Light Bulbs 4-Pack,Smart Home,"App-controlled color-changing bulbs that dim, schedule, and sync with voice assistants for a customizable home."
91,Smart Plug Wi-Fi Enabled,Smart Home,"Compact plug that turns any appliance into a smart device, controllable remotely and by voice commands."
92,Smart Thermostat Programmable,Smart Home,"Wi-Fi thermostat that learns your schedule and adjusts temperature automatically, helping reduce energy bills."
93,Home Security Camera System,Smart Home,"Four-camera security system with night vision and cloud storage, monitoring your entire property from one app."
94,Bestselling Mystery Novel,Books,Gripping crime thriller following a detective unraveling a decades-old murder case in a small coastal town.
95,Self-Help Productivity Book,Books,"Practical guide packed with strategies for building better habits, managing time, and staying focused on long-term goals."
96,Children's Picture Book Bedtime,Books,"Beautifully illustrated bedtime story about friendship and courage, written for young readers ages 3 to 7."
97,Cookbook for Beginners,Books,"Step-by-step cookbook with simple recipes and clear instructions, perfect for anyone just starting to cook at home."
98,Notebook Set Ruled Pages,Office Supplies,"Set of three hardcover notebooks with ruled pages, smooth paper, and a ribbon bookmark for journaling or note-taking."
99,Ballpoint Pens Pack of 12,Office Supplies,"Smooth-writing ballpoint pens with comfortable grips, reliable for everyday office and school use."
100,Desk Organizer with Drawers,Office Supplies,"Multi-compartment desk organizer that keeps pens, files, and stationery tidy and within easy reach."
101,Wireless Computer Mouse,Office Supplies,"Ergonomic wireless mouse with a precise sensor and silent clicks, comfortable for long hours of desk work."
102,Sticky Notes Assorted Colors,Office Supplies,"Bright, repositionable sticky notes in assorted colors, handy for reminders, planning, and organizing tasks."
